id,age_of_acquisition,word,concept
831,7.71,loose,LOOSE [2506]
832,7.70304,dominoes,DOMINOES [2594]
833,7.7,discipline,DISCIPLINE [3962]
834,7.68,circular,CIRCULAR (ROUND IN TWO DIMENSIONS) [2302]
835,7.68,steel,STEEL [2343]
836,7.68,disgust,DISGUST [2465]
837,7.68,agree,AGREE [3643]
838,7.68,knowledge,KNOWLEDGE [3874]
839,7.68,turquoise,TURQUOISE [3914]
840,7.68,linen,LINEN [916]
841,7.67,crime,CRIME [1066]
842,7.67,elder,OLD (AGED) [2112]
843,7.67,meteor,METEOROID (SHOOTING OR SHINING STAR) [2288]
844,7.67,journey,JOURNEY [2393]
845,7.67,frame,FRAME [2624]
846,7.67,tone,TONE (MUSIC) [2995]
847,7.67,damp,DAMP [2998]
848,7.67,manage,MANAGE [3073]
849,7.67,tusk,TUSK [3280]
850,7.67,almond,ALMOND [3815]
851,7.67,cigar,CIGAR [4019]
852,7.67,war,WAR [935]
853,7.649755,stork,STORK [3724]
854,7.639098,fishbone,FISHBONE [3799]
855,7.63,sugarcane,SUGAR CANE [146]
856,7.63,beggar,BEGGAR [1934]
857,7.63,crowded,CROWDED [2517]
858,7.63,charity,CHARITY [3953]
859,7.63,cruel,CRUEL [500]
860,7.63,urinate,PISS [592]
861,7.63,crop,HARVEST [611]
862,7.62,coward,COWARD [1319]
863,7.61,healthy,HEALTHY [1364]
864,7.61,iguana,IGUANA [1578]
865,7.61,surrender,SURRENDER [1696]
866,7.61,jealousy,JEALOUSY [2016]
867,7.61,pyramid,PYRAMID [2600]
868,7.59647,perhaps,PERHAPS [2278]
869,7.58,crush,CRUSH [1520]
870,7.58,sibling,SIBLING [1640]
871,7.58,flexible,FLEXIBLE [1691]
872,7.58,stump,TREE STUMP [241]
873,7.58,untruth,LIE (FALSEHOOD) [2826]
874,7.58,tame,TAME [2838]
875,7.58,connect,CONNECT [2862]
876,7.58,shoemaker,SHOEMAKER [875]
877,7.57,narrow,NARROW [1267]
878,7.57,precious,PRECIOUS [3002]
879,7.57,rot,SPOIL (BECOME SPOILED) [569]
880,7.57,earn,EARN [733]
881,7.56,drizzle,DRIZZLE [1016]
882,7.56,fool,FOOL [1438]
883,7.56,dye,DYE [157]
884,7.56,recover,RECOVER [1978]
885,7.56,admit,ADMIT [2022]
886,7.56,matter,MATTER [2150]
887,7.56,kiwi,KIWIFRUIT [3247]
888,7.56,doorpost,DOORPOST [80]
889,7.55,statue,STATUE [1002]
890,7.55,necessary,NECESSARY [1030]
891,7.55,disease,DISEASE [1986]
892,7.55,harp,HARP [2597]
893,7.543185,instantly,INSTANTLY (IMMEDIATELY) [2916]
894,7.543185,hardly,HARDLY [2926]
895,7.53,measure,MEASURE [1506]
896,7.53,greedy,GREEDY [2018]
897,7.53,chief,CHIEFTAIN [301]
898,7.53,sap,SAP [345]
899,7.53,faint,FAINT (PASS OUT) [3616]
900,7.53,shotgun,SHOTGUN [3948]
901,7.53,injure,INJURE [44]
902,7.53,earthquake,EARTHQUAKE [6]
903,7.53,victory,VICTORY [783]
904,7.52,wound,WOUND [1109]
905,7.5,owner,OWNER [1036]
906,7.5,prison,PRISON [1281]
907,7.5,clever,CLEVER [1310]
908,7.5,authority,AUTHORITY [1637]
909,7.5,unripe,UNRIPE [1958]
910,7.5,shiver,SHIVER [52]
911,7.4899,sparrow,SPARROW [1854]
912,7.4899,oats,OAT [60]
913,7.48,power,POWER [2526]
914,7.47,improve,IMPROVE (SOMETHING) [2872]
915,7.47,business,BUSINESS [2931]
916,7.47,afford,AFFORD [3893]
917,7.47,curse,CURSE [8]
918,7.47,beehive,BEEHIVE [88]
919,7.45,rare,RARE [209]
920,7.45,violin,VIOLIN [4023]
921,7.44,fine,FINE (PENALTY) [218]
922,7.44,lobster,LOBSTER [2397]
923,7.44,emperor,EMPEROR [3377]
924,7.44,hollow,HOLLOW [3701]
925,7.44,grain,GRAIN [605]
926,7.436615,goods,MERCHANDISE [3406]
927,7.42,increase,INCREASE [1041]
928,7.42,motor,MOTOR [110]
929,7.42,swell,SWELL [1573]
930,7.42,jealous,JEALOUS [2821]
931,7.42,falcon,FALCON [3258]
932,7.42,minister,MINISTER [486]
933,7.41,sesame,SESAME [2797]
934,7.41,island,ISLAND [622]
935,7.4,flow,FLOW [2003]
936,7.4,surf,SURF [3132]
937,7.4,harvest,AUTUMN OR HARVEST SEASON [3327]
938,7.393987,carpenter,CARPENTER [1042]
939,7.393987,gill,GILL [1916]
940,7.39,silk,SILK [1641]
941,7.39,centipede,CENTIPEDE [1974]
942,7.39,impatient,IMPATIENT [3885]
943,7.39,tobacco,TOBACCO [974]
944,7.38333,suddenly,SUDDENLY [2920]
